,rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
589,580,4700,Media & Entertainment,Tim Sweeney,52.0,United States,Cary,Video games,Media & Entertainment,United States,1,D,M,12/13/1970 0:00,Sweeney,Tim,4/4/2023 5:01,1970.0,12.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
590,591,4600,Food & Beverage,Bert Beveridge,61.0,United States,Austin,Vodka,Food & Beverage,United States,1,U,M,1/1/1962 0:00,Beveridge,Bert,4/4/2023 5:01,1962.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
591,591,4600,Media & Entertainment,Mark Cuban,64.0,United States,Dallas,"Online media, Dallas Mavericks",Media & Entertainment,United States,1,D,M,7/31/1958 0:00,Cuban,Mark,4/4/2023 5:01,1958.0,7.0,31.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
592,591,4600,Media & Entertainment,Charles Dolan & family,96.0,United States,Oyster Bay,Cable television,Media & Entertainment,United States,1,D,M,10/16/1926 0:00,Dolan,Charles,4/4/2023 5:01,1926.0,10.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
593,591,4600,Technology,Jack Dorsey,46.0,United States,San Francisco,"Twitter, Square",Technology,United States,1,D,M,11/19/1976 0:00,Dorsey,Jack,4/4/2023 5:01,1976.0,11.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
594,591,4600,Energy,Fan Hongwei,56.0,China,Wujiang,Petrochemicals,Energy,China,1,D,F,1/1/1967 0:00,Fan,Hongwei,4/4/2023 5:01,1967.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
595,591,4600,Metals & Mining,Vladimir Kim,62.0,Kazakhstan,Almaty,Mining,Metals & Mining,Kazakhstan,1,D,M,10/29/1960 0:00,Kim,Vladimir,4/4/2023 5:01,1960.0,10.0,29.0,182.75,5.2,180161741180.0,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
597,591,4600,Fashion & Retail,Ronald Lauder,79.0,United States,New York,Estee Lauder,Fashion & Retail,United States,0,D,M,2/26/1944 0:00,Lauder,Ronald,4/4/2023 5:01,1944.0,2.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
598,591,4600,Manufacturing,Li Chunan,54.0,China,Fushun,Renewable energy,Manufacturing,China,1,D,M,10/10/1968 0:00,Li,Chunan,4/4/2023 5:01,1968.0,10.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
599,591,4600,Media & Entertainment,Forrest Li,45.0,Singapore,Singapore,Gaming,Media & Entertainment,Singapore,1,D,M,1/1/1978 0:00,Li,Forrest,4/4/2023 5:01,1978.0,1.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
601,591,4600,Fashion & Retail,Doug Meijer & family,69.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,0,Split Family Fortune,M,1/22/1954 0:00,Meijer,Doug,4/4/2023 5:01,1954.0,1.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
602,591,4600,Fashion & Retail,Hank Meijer & family,71.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,0,Split Family Fortune,M,2/15/1952 0:00,Meijer,Hank,4/4/2023 5:01,1952.0,2.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
603,591,4600,Fashion & Retail,Mark Meijer & family,65.0,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,0,Split Family Fortune,M,10/21/1957 0:00,Meijer,Mark,4/4/2023 5:01,1957.0,10.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
604,591,4600,Food & Beverage,Issad Rebrab & family,79.0,Algeria,Algiers,Food,Food & Beverage,Algeria,1,D,M,1/1/1944 0:00,Rebrab,Issad,4/4/2023 5:01,1944.0,1.0,1.0,151.36,2.0,169988236398.0,51.4,109.9,76.7,37.2,66.1,43053054.0,28.033886,1.659626
605,591,4600,Logistics,Fred Smith,78.0,United States,Memphis,FedEx,Logistics,United States,1,D,M,8/11/1944 0:00,Smith,Fred,4/4/2023 5:01,1944.0,8.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
606,591,4600,Finance & Investments,Barry Sternlicht,62.0,United States,Miami,Private equity,Finance & Investments,United States,1,U,M,11/27/1960 0:00,Sternlicht,Barry,4/4/2023 5:01,1960.0,11.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
607,591,4600,Manufacturing,Maximilian Viessmann,34.0,Germany,Battenberg,"Heating, cooling equipment",Manufacturing,Germany,0,D,M,2/11/1989 0:00,Viessmann,Maximilian,4/4/2023 5:01,1989.0,2.0,11.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
608,591,4600,Food & Beverage,Russ Weiner,52.0,United States,Delray Beach,Energy drinks,Food & Beverage,United States,1,U,M,5/5/1970 0:00,Weiner,Russ,4/4/2023 5:01,1970.0,5.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
609,591,4600,Healthcare,Xue Min,66.0,China,Wuhan,Healthcare,Healthcare,China,1,N,M,1/1/1957 0:00,Xue,Min,4/4/2023 5:01,1957.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
611,611,4500,Technology,Dietmar Hopp & family,82.0,Germany,Walldorf,Software,Technology,Germany,1,D,M,4/26/1940 0:00,Hopp,Dietmar,4/4/2023 5:01,1940.0,4.0,26.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
612,611,4500,Technology,Jiang Bin,56.0,China,Weifang,Acoustic components,Technology,China,1,D,M,9/16/1966 0:00,Jiang,Bin,4/4/2023 5:01,1966.0,9.0,16.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
613,611,4500,Technology,Joseph Liemandt,54.0,United States,Austin,Software,Technology,United States,1,U,M,8/5/1968 0:00,Liemandt,Joseph,4/4/2023 5:01,1968.0,8.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
614,611,4500,Food & Beverage,Theo Mueller,83.0,Switzerland,Zurich,Dairy,Food & Beverage,Germany,0,D,M,1/30/1940 0:00,Mueller,Theo,4/4/2023 5:01,1940.0,1.0,30.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
615,611,4500,Technology,N.R. Narayana Murthy,76.0,India,Bangalore,Software services,Technology,India,1,U,M,8/20/1946 0:00,Murthy,N.R. Narayana,4/4/2023 5:01,1946.0,8.0,20.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
616,611,4500,Fashion & Retail,Odd Reitan & family,71.0,Norway,Trondheim,"Retail, real estate",Fashion & Retail,Norway,0,D,M,9/11/1951 0:00,Reitan,Odd,4/4/2023 5:01,1951.0,9.0,11.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
617,611,4500,Finance & Investments,Marc Rowan,60.0,United States,New York,Private equity,Finance & Investments,United States,1,D,M,8/19/1962 0:00,Rowan,Marc,4/4/2023 5:01,1962.0,8.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
618,611,4500,Real Estate,Hussain Sajwani,70.0,United Arab Emirates,Dubai,Real estate,Real Estate,United Arab Emirates,1,U,M,3/1/1953 0:00,Sajwani,Hussain,4/4/2023 5:01,1953.0,3.0,1.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
619,611,4500,Finance & Investments,David Velez & family,41.0,Brazil,Sao Paulo,Fintech,Finance & Investments,Colombia,1,D,M,10/2/1981 0:00,Velez,David,4/4/2023 5:01,1981.0,10.0,2.0,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
620,611,4500,Manufacturing,Xu Jinfu,59.0,China,Guangzhou,Chemicals,Manufacturing,China,1,D,M,1/1/1964 0:00,Xu,Jinfu,4/4/2023 5:01,1964.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
622,611,4500,Manufacturing,You Xiaoping & family,65.0,China,Wenzhou,"Chemicals, spandex",Manufacturing,China,1,D,M,1/21/1958 0:00,You,Xiaoping,4/4/2023 5:01,1958.0,1.0,21.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
623,624,4400,Healthcare,Stéphane Bancel,50.0,United States,Boston,"Biotech, vaccines",Healthcare,France,1,D,M,7/20/1972 0:00,Bancel,Stéphane,4/4/2023 5:01,1972.0,7.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
624,624,4400,Technology,Margot Birmingham Perot,89.0,United States,Dallas,"Computer services, real estate",Technology,United States,0,U,F,11/15/1933 0:00,Birmingham Perot,Margot,4/4/2023 5:01,1933.0,11.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
625,624,4400,Manufacturing,Neal Blue & family,88.0,United States,San Diego,Defense,Manufacturing,United States,1,U,M,4/4/1935 0:00,Blue,Neal,4/4/2023 5:01,1935.0,4.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
626,624,4400,Service,Jim Davis,63.0,United States,Cockeysville,Staffing & recruiting,Service,United States,1,U,M,3/13/1960 0:00,Davis,Jim,4/4/2023 5:01,1960.0,3.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
627,624,4400,Construction & Engineering,Rafael Del Pino,64.0,Spain,Madrid,Construction,Construction & Engineering,Spain,0,U,M,7/18/1958 0:00,Del Pino,Rafael,4/4/2023 5:01,1958.0,7.0,18.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
628,624,4400,Healthcare,Peter Grogg,81.0,Switzerland,Liestal,Biochemicals,Healthcare,Switzerland,1,D,M,1/10/1942 0:00,Grogg,Peter,4/4/2023 5:01,1942.0,1.0,10.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
629,624,4400,Fashion & Retail,Christian Haub,58.0,Germany,Munich,Retail,Fashion & Retail,Germany,0,E,M,7/22/1964 0:00,Haub,Christian,4/4/2023 5:01,1964.0,7.0,22.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
630,624,4400,Real Estate,Mangal Prabhat Lodha,67.0,India,Mumbai,Real estate,Real Estate,India,1,D,M,12/1/1955 0:00,Lodha,Mangal Prabhat,4/4/2023 5:01,1955.0,12.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
631,624,4400,Sports,Jeffrey Lurie & family,71.0,United States,Wynnewood,Philadelphia Eagles,Sports,United States,0,U,M,9/8/1951 0:00,Lurie,Jeffrey,4/4/2023 5:01,1951.0,9.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
632,624,4400,Finance & Investments,Joe Mansueto,66.0,United States,Chicago,Investment research,Finance & Investments,United States,1,D,M,9/3/1956 0:00,Mansueto,Joe,4/4/2023 5:01,1956.0,9.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
633,624,4400,Manufacturing,Qian Dongqi & family,65.0,China,Suzhou,Home-cleaning robots,Manufacturing,China,1,D,M,1/1/1958 0:00,Qian,Dongqi,4/4/2023 5:01,1958.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
634,624,4400,Metals & Mining,Mikhail Shelkov,54.0,Russia,Moscow,Titanium,Metals & Mining,Russia,1,U,M,5/30/1968 0:00,Shelkov,Mikhail,4/4/2023 5:01,1968.0,5.0,30.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
635,636,4300,Telecom,Patrick Drahi,59.0,Switzerland,Zermatt,Telecom,Telecom,France,1,D,M,8/20/1963 0:00,Drahi,Patrick,4/4/2023 5:01,1963.0,8.0,20.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
636,636,4300,Finance & Investments,Behdad Eghbali,46.0,United States,Los Angeles,Private equity,Finance & Investments,United States,1,U,M,5/6/1976 0:00,Eghbali,Behdad,4/4/2023 5:01,1976.0,5.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
637,636,4300,Finance & Investments,Juan Carlos Escotet,63.0,Spain,A Coruña,Banking,Finance & Investments,Venezuela,1,U,M,7/23/1959 0:00,Escotet,Juan Carlos,4/4/2023 5:01,1959.0,7.0,23.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
638,636,4300,Finance & Investments,Jose E. Feliciano,49.0,United States,Los Angeles,Private equity,Finance & Investments,United States,1,U,M,5/29/1973 0:00,Feliciano,Jose E.,4/4/2023 5:01,1973.0,5.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
639,636,4300,Healthcare,Hu Kaijun,61.0,China,Beijing,Pharmaceuticals,Healthcare,China,1,U,M,1/1/1962 0:00,Hu,Kaijun,4/4/2023 5:01,1962.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
640,636,4300,Logistics,Johnelle Hunt,91.0,United States,Fayetteville,Trucking,Logistics,United States,1,D,F,1/4/1932 0:00,Hunt,Johnelle,4/4/2023 5:01,1932.0,1.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
641,636,4300,Food & Beverage,Marian Ilitch,90.0,United States,Bingham Farms,Little Caesars Pizza,Food & Beverage,United States,1,D,F,1/7/1933 0:00,Ilitch,Marian,4/4/2023 5:01,1933.0,1.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
642,636,4300,Diversified,Daryl Katz,61.0,Canada,Edmonton,Pharmacies,Diversified,Canada,1,D,M,9/1/1961 0:00,Katz,Daryl,4/4/2023 5:01,1961.0,9.0,1.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
643,636,4300,Metals & Mining,Andrei Kozitsyn,62.0,Russia,Verkhniaya Pyshma,Metals,Metals & Mining,Russia,1,U,M,6/9/1960 0:00,Kozitsyn,Andrei,4/4/2023 5:01,1960.0,6.0,9.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
644,636,4300,Finance & Investments,Timur Kulibaev,56.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,1,U,M,9/10/1966 0:00,Kulibaev,Timur,4/4/2023 5:01,1966.0,9.0,10.0,182.75,5.2,180161741180.0,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
645,636,4300,Finance & Investments,Dinara Kulibaeva,55.0,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,0,U,F,8/19/1967 0:00,Kulibaeva,Dinara,4/4/2023 5:01,1967.0,8.0,19.0,182.75,5.2,180161741180.0,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
648,636,4300,Food & Beverage,Gwendolyn Sontheim Meyer,61.0,United States,Rancho Santa Fe,Cargill,Food & Beverage,United States,0,D,F,10/27/1961 0:00,Meyer,Gwendolyn Sontheim,4/4/2023 5:01,1961.0,10.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
649,636,4300,Real Estate,Jay Paul,75.0,United States,San Francisco,Real estate,Real Estate,United States,1,U,M,7/8/1947 0:00,Paul,Jay,4/4/2023 5:01,1947.0,7.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
650,636,4300,Diversified,Pham Nhat Vuong,54.0,Vietnam,Hanoi,Diversified,Diversified,Vietnam,1,D,M,8/5/1968 0:00,Pham,Nhat Vuong,4/4/2023 5:01,1968.0,8.0,5.0,163.52,2.8,261921244843.0,28.5,110.6,75.3,19.1,37.6,96462106.0,14.058324,108.277199
651,636,4300,Healthcare,Jon Stryker,64.0,United States,New York,Medical equipment,Healthcare,United States,0,U,M,5/3/1958 0:00,Stryker,Jon,4/4/2023 5:01,1958.0,5.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
654,636,4300,Technology,Frank Wang,42.0,China,Shenzhen,Drones,Technology,China,1,D,M,10/30/1980 0:00,Wang,Frank,4/4/2023 5:01,1980.0,10.0,30.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
655,636,4300,Manufacturing,Wang Junshi & family,74.0,China,Ningbo,Solar inverters,Manufacturing,China,1,D,M,1/1/1949 0:00,Wang,Junshi,4/4/2023 5:01,1949.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
656,636,4300,Technology,Wang Wenjing,58.0,China,Beijing,Business software,Technology,China,1,D,M,12/5/1964 0:00,Wang,Wenjing,4/4/2023 5:01,1964.0,12.0,5.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
657,636,4300,Finance & Investments,Herbert Wertheim,83.0,United States,Coral Gables,Investments,Finance & Investments,United States,1,U,M,5/23/1939 0:00,Wertheim,Herbert,4/4/2023 5:01,1939.0,5.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
658,659,4200,Service,Shari Arison,65.0,Israel,Tel Aviv,Carnival Cruises,Service,Israel,0,D,F,9/9/1957 0:00,Arison,Shari,4/4/2023 5:01,1957.0,9.0,9.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
660,659,4200,Real Estate,Chan Laiwa & family,82.0,China,Beijing,Real estate,Real Estate,China,1,D,F,1/1/1941 0:00,Chan,Laiwa,4/4/2023 5:01,1941.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
661,659,4200,Real Estate,Chen Hua,57.0,China,Shenzhen,Real estate,Real Estate,China,1,U,M,1/1/1966 0:00,Chen,Hua,4/4/2023 5:01,1966.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
662,659,4200,Finance & Investments,Thomas Hagen,87.0,United States,Erie,Insurance,Finance & Investments,United States,0,U,M,1/1/1936 0:00,Hagen,Thomas,4/4/2023 5:01,1936.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
663,659,4200,Finance & Investments,"Rupert Johnson, Jr.",82.0,United States,Burlingame,Franklin Templeton,Finance & Investments,United States,0,D,M,8/10/1940 0:00,Johnson,Rupert,4/4/2023 5:01,1940.0,8.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
664,659,4200,Energy,Dewi Kam,72.0,Indonesia,Jakarta,Coal,Energy,Indonesia,1,N,F,7/23/1950 0:00,Kam,Dewi,4/4/2023 5:01,1950.0,7.0,23.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
665,659,4200,Technology,Min Kao & family,74.0,United States,Leawood,Navigation equipment,Technology,United States,1,D,M,1/10/1949 0:00,Kao,Min,4/4/2023 5:01,1949.0,1.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
666,659,4200,Finance & Investments,Marc Ladreit de Lacharriere,82.0,France,Paris,Finance,Finance & Investments,France,1,U,M,11/6/1940 0:00,Ladreit de Lacharriere,Marc,4/4/2023 5:01,1940.0,11.0,6.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
667,659,4200,Technology,Eric Lefkofsky,53.0,United States,Glencoe,"Groupon, investments",Technology,United States,1,U,M,9/2/1969 0:00,Lefkofsky,Eric,4/4/2023 5:01,1969.0,9.0,2.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
668,659,4200,Technology,Lin Bin,55.0,China,Shenzhen,Smartphones,Technology,United States,1,D,M,2/1/1968 0:00,Lin,Bin,4/4/2023 5:01,1968.0,2.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
669,659,4200,Finance & Investments,Lin Li,59.0,China,Shenzhen,Investments,Finance & Investments,China,1,D,M,5/1/1963 0:00,Lin,Li,4/4/2023 5:01,1963.0,5.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
670,659,4200,Technology,Michael Moritz,68.0,United States,San Francisco,Venture capital,Technology,United States,1,D,M,9/12/1954 0:00,Moritz,Michael,4/4/2023 5:01,1954.0,9.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
671,659,4200,Service,Jean (Gigi) Pritzker,60.0,United States,Los Angeles,"Hotels, investments",Service,United States,0,U,F,7/1/1962 0:00,Pritzker,Jean (Gigi),4/4/2023 5:01,1962.0,7.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
672,659,4200,Automotive,E. Joe Shoen,73.0,United States,Phoenix,U-Haul,Automotive,United States,0,U,M,10/28/1949 0:00,Shoen,E. Joe,4/4/2023 5:01,1949.0,10.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
673,659,4200,Technology,Jeff Skoll,58.0,United States,Los Angeles,EBay,Technology,United States,1,D,M,1/16/1965 0:00,Skoll,Jeff,4/4/2023 5:01,1965.0,1.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
674,659,4200,Food & Beverage,Lynsi Snyder,40.0,United States,Glendora,In-N-Out Burger,Food & Beverage,United States,0,E,F,5/5/1982 0:00,Snyder,Lynsi,4/4/2023 5:01,1982.0,5.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
675,659,4200,Fashion & Retail,Djoko Susanto,73.0,Indonesia,Jakarta,Supermarkets,Fashion & Retail,Indonesia,1,U,M,2/9/1950 0:00,Susanto,Djoko,4/4/2023 5:01,1950.0,2.0,9.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
677,659,4200,Finance & Investments,Peter Thiel,55.0,United States,Los Angeles,"Facebook, investments",Finance & Investments,United States,1,D,M,10/11/1967 0:00,Thiel,Peter,4/4/2023 5:01,1967.0,10.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
678,679,4100,Food & Beverage,Andrej Babis,68.0,Czech Republic,Prague,Agriculture,Food & Beverage,Czech Republic,1,D,M,9/2/1954 0:00,Babis,Andrej,4/4/2023 5:01,1954.0,9.0,2.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962
679,679,4100,Service,Danielle Bellon & family,83.0,France,Paris,Food services,Service,France,0,U,F,2/8/1940 0:00,Bellon,Danielle,4/4/2023 5:01,1940.0,2.0,8.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
680,679,4100,Media & Entertainment,Hubert Burda,83.0,Germany,Munich,Publishing,Media & Entertainment,Germany,0,U,M,2/9/1940 0:00,Burda,Hubert,4/4/2023 5:01,1940.0,2.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
681,679,4100,Food & Beverage,Nick Caporella,87.0,United States,Plantation,Beverages,Food & Beverage,United States,1,U,M,1/15/1936 0:00,Caporella,Nick,4/4/2023 5:01,1936.0,1.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
682,679,4100,Energy,John Catsimatidis,74.0,United States,New York,"Oil, real estate",Energy,United States,1,U,M,9/7/1948 0:00,Catsimatidis,John,4/4/2023 5:01,1948.0,9.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
683,679,4100,Technology,Scott Cook,70.0,United States,Woodside,Software,Technology,United States,1,D,M,7/26/1952 0:00,Cook,Scott,4/4/2023 5:01,1952.0,7.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
684,679,4100,Food & Beverage,Luca Garavoglia,54.0,Italy,Milan,Spirits,Food & Beverage,Italy,0,U,M,2/27/1969 0:00,Garavoglia,Luca,4/4/2023 5:01,1969.0,2.0,27.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
685,679,4100,Manufacturing,Antti Herlin,66.0,Finland,Kirkkonummi,"Elevators, escalators",Manufacturing,Finland,0,D,M,11/14/1956 0:00,Herlin,Antti,4/4/2023 5:01,1956.0,11.0,14.0,112.33,1.0,268761201365.0,88.2,100.2,81.7,20.8,36.6,5520314.0,61.92411,25.748151
686,679,4100,Manufacturing,Hong Jie,55.0,China,Putian,Paint,Manufacturing,China,1,U,M,10/1/1967 0:00,Hong,Jie,4/4/2023 5:01,1967.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
